ID ,Water consumption (MGal/year),Fuel type,Cooling ID
FL_6452_56407_1A_PWC11_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1A_PWC12_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1A_PWC13_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
VA_19876_56807_1A_1A_1_Natural Gas and Other Gases,531.327,Natural Gas and Other Gases,VA_19876_56807_1
VA_19876_56807_1A_1B_1_Natural Gas and Other Gases,531.327,Natural Gas and Other Gases,VA_19876_56807_1
MS_12686_57037_1A_A_1CT_Natural Gas and Other Gases,802.0520000000001,Natural Gas and Other Gases,MS_12686_57037_1CT
MS_12686_57037_1A_B_1CT_Natural Gas and Other Gases,802.0520000000001,Natural Gas and Other Gases,MS_12686_57037_1CT
NC_3046_58215_1A_ST1_ST1_Natural Gas and Other Gases,1272.174,Natural Gas and Other Gases,NC_3046_58215_ST1
FL_6452_60345_1A_1_COOLT_Natural Gas and Other Gases,2130.2850000000003,Natural Gas and Other Gases,FL_6452_60345_COOLT
LA_11241_60926_1A_1AHRSG_10CWS_Natural Gas and Other Gases,888.5799999999999,Natural Gas and Other Gases,LA_11241_60926_10CWS
LA_11241_60926_1A_1BHRSG_10CWS_Natural Gas and Other Gases,888.5799999999999,Natural Gas and Other Gases,LA_11241_60926_10CWS
LA_11241_60927_1A_1AHRSG_10CWS_Natural Gas and Other Gases,24.919,Natural Gas and Other Gases,LA_11241_60927_10CWS
LA_11241_60927_1A_1BHRSG_10CWS_Natural Gas and Other Gases,24.919,Natural Gas and Other Gases,LA_11241_60927_10CWS
AZ_803_117_1B_1B_CC1-3_Natural Gas and Other Gases,305.0,Natural Gas and Other Gases,AZ_803_117_CC1-3
OK_15474_2963_1B_3301A_PLANT_Natural Gas and Other Gases,1278.1800000000003,Natural Gas and Other Gases,OK_15474_2963_PLANT
OK_15474_2963_1B_3301B_PLANT_Natural Gas and Other Gases,1278.1800000000003,Natural Gas and Other Gases,OK_15474_2963_PLANT
FL_6452_56407_1B_PWC11_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1B_PWC12_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1B_PWC13_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
VA_19876_56807_1B_1A_1_Natural Gas and Other Gases,531.327,Natural Gas and Other Gases,VA_19876_56807_1
VA_19876_56807_1B_1B_1_Natural Gas and Other Gases,531.327,Natural Gas and Other Gases,VA_19876_56807_1
MS_12686_57037_1B_A_1CT_Natural Gas and Other Gases,802.0520000000001,Natural Gas and Other Gases,MS_12686_57037_1CT
MS_12686_57037_1B_B_1CT_Natural Gas and Other Gases,802.0520000000001,Natural Gas and Other Gases,MS_12686_57037_1CT
NC_3046_58215_1B_ST1_ST1_Natural Gas and Other Gases,1272.174,Natural Gas and Other Gases,NC_3046_58215_ST1
FL_6452_60345_1B_1_COOLT_Natural Gas and Other Gases,2130.2850000000003,Natural Gas and Other Gases,FL_6452_60345_COOLT
LA_11241_60926_1B_1AHRSG_10CWS_Natural Gas and Other Gases,888.5799999999999,Natural Gas and Other Gases,LA_11241_60926_10CWS
LA_11241_60926_1B_1BHRSG_10CWS_Natural Gas and Other Gases,888.5799999999999,Natural Gas and Other Gases,LA_11241_60926_10CWS
LA_11241_60927_1B_1AHRSG_10CWS_Natural Gas and Other Gases,24.919,Natural Gas and Other Gases,LA_11241_60927_10CWS
LA_11241_60927_1B_1BHRSG_10CWS_Natural Gas and Other Gases,24.919,Natural Gas and Other Gases,LA_11241_60927_10CWS
FL_6452_56407_1C_PWC11_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1C_PWC12_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
FL_6452_56407_1C_PWC13_PLANT_Natural Gas and Other Gases,5289.137,Natural Gas and Other Gases,FL_6452_56407_PLANT
VA_19876_56807_1C_1A_1_Natural Gas and Other Gases,531.327,Natural Gas and Other Gases,VA_19876_56807_1
VA_19876_56807_1C_1B_1_Natural Gas and Other Gases,531.327,Natural Gas and Other Gases,VA_19876_56807_1
MS_12686_57037_1C_A_1CT_Natural Gas and Other Gases,802.0520000000001,Natural Gas and Other Gases,MS_12686_57037_1CT
MS_12686_57037_1C_B_1CT_Natural Gas and Other Gases,802.0520000000001,Natural Gas and Other Gases,MS_12686_57037_1CT
NC_3046_58215_1C_ST1_ST1_Natural Gas and Other Gases,1272.174,Natural Gas and Other Gases,NC_3046_58215_ST1
FL_6452_60345_1C_1_COOLT_Natural Gas and Other Gases,2130.2850000000003,Natural Gas and Other Gases,FL_6452_60345_COOLT
LA_11241_60926_1C_1AHRSG_10CWS_Natural Gas and Other Gases,888.5799999999999,Natural Gas and Other Gases,LA_11241_60926_10CWS
LA_11241_60926_1C_1BHRSG_10CWS_Natural Gas and Other Gases,888.5799999999999,Natural Gas and Other Gases,LA_11241_60926_10CWS
LA_11241_60927_1C_1AHRSG_10CWS_Natural Gas and Other Gases,24.919,Natural Gas and Other Gases,LA_11241_60927_10CWS
LA_11241_60927_1C_1BHRSG_10CWS_Natural Gas and Other Gases,24.919,Natural Gas and Other Gases,LA_11241_60927_10CWS
OK_15474_8059_1G1_7251_7253_Natural Gas and Other Gases,19.474999999999998,Natural Gas and Other Gases,OK_15474_8059_7253
