Plant_Id,"Combined_Heat_And
Power_Plant",Nuclear_Unit_Id,Plant_Name,Operator_Name,Operator_Id,Plant_State,Census_Region,NERC_Region,Reserved,NAICS_Code,EIA_Sector_Number,Sector_Name,"Reported
Prime_Mover",Reported_Fuel_Type_Code,AER_Fuel_Type_Code,Balancing_Authority_Code,"Respondent
Frequency","Physical
Unit_Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December","Total_Fuel_Consumption
Quantity","Electric_Fuel_Consumption
Quantity","Total_Fuel_Consumption
MMBtu",Elec_Fuel_Consumption_MMBtu,Net_Generation_(Megawatthours),YEAR,ID_SUP,Ftype,Unique
51,N,.,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,,22,1,Electric Utility,ST,LIG,COL,MISO,M,short tons,0,"26,031",0,0,0,"122,520","184,656","195,022","161,555","169,994","78,883",0,0,"26,031",0,0,0,"122,520","184,656","195,022","161,555","169,994","78,883",0,0,12.45,0,0,0,12.59,12.73,12.85,12.94,13.06,13.06,0,0,"324,086",0,0,0,"1,542,527","2,350,671","2,506,033","2,090,522","2,220,632","1,030,449",0,0,"324,086",0,0,0,"1,542,527","2,350,671","2,506,033","2,090,522","2,220,632","1,030,449",0,0,"26,128",0,0,0,"127,763","199,814","198,857","154,507","165,925","69,865",0,"938,661","938,661","12,064,920",12064920.0,942857.0,2021,LA_3265_51,Coal,LA_3265_51_Coal
51,N,.,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,,22,1,Electric Utility,ST,NG,NG,MISO,M,mcf,"1,792","81,343",170,"1,566",0,"205,604","179,511","403,987","331,246","319,250","166,232",0,"1,792","81,343",170,"1,566",0,"205,604","179,511","403,987","331,246","319,250","166,232",0,1.03,1.03,1.03,1.03,0,1.03,1.03,1.03,1.03,1.03,1.03,0,"1,844","83,702",175,"1,611",0,"211,567","184,717","415,703","340,852","328,508","171,053",0,"1,844","83,702",175,"1,611",0,"211,567","184,717","415,703","340,852","328,508","171,053",0,0,"6,748",0,0,0,"17,523","15,701","32,986","25,192","24,546","11,597",0,"1,690,701","1,690,701","1,739,732",1739732.0,134295.0,2021,LA_3265_51,Natural Gas and Other Gases,LA_3265_51_Natural Gas and Other Gases
59,N,.,Platte,City of Grand Island - (NE),40606,NE,WNC,MRO,,22,1,Electric Utility,ST,DFO,DFO,SWPP,AM,barrels,0,0,13,0,0,418,0,13,0,414,3,103,0,0,13,0,0,418,0,13,0,414,3,103,0,0,5.7,0,0,5.7,0,5.7,0,5.7,5.7,5.7,0,0,74,0,0,"2,383",0,74,0,"2,360",17,587,0,0,74,0,0,"2,383",0,74,0,"2,360",17,587,0,0,6,0,0,213,0,7,0,200,1,50,964,964,"5,495",5495.0,477.0,2021,NE_40606_59,Petroleum Products,NE_40606_59_Petroleum Products
59,N,.,Platte,City of Grand Island - (NE),40606,NE,WNC,MRO,,22,1,Electric Utility,ST,SUB,COL,SWPP,AM,short tons,"31,480","33,683","4,532",0,0,"33,204","39,014","38,292","32,136","5,823","35,117","31,718","31,480","33,683","4,532",0,0,"33,204","39,014","38,292","32,136","5,823","35,117","31,718",16.74,16.93,16.86,0,0,16.85,17.06,17.01,17.01,17.01,17.03,17.16,"526,975","570,253","76,410",0,0,"559,487","665,579","651,347","546,633","99,049","598,043","544,281","526,975","570,253","76,410",0,0,"559,487","665,579","651,347","546,633","99,049","598,043","544,281","45,377","48,935","6,569",0,0,"49,938","58,758","57,939","47,842","8,380","51,216","46,801","284,999","284,999","4,838,057",4838057.0,421755.0,2021,NE_40606_59,Coal,NE_40606_59_Coal
60,N,.,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,,22,1,Electric Utility,ST,DFO,DFO,SWPP,M,barrels,659,227,819,239,472,346,140,76,482,639,663,863,659,227,819,239,472,346,140,76,482,639,663,863,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,"3,792","1,306","4,713","1,375","2,716","1,991",806,437,"2,773","3,677","3,815","4,966","3,792","1,306","4,713","1,375","2,716","1,991",806,437,"2,773","3,677","3,815","4,966",176,67,215,3,121,98,88,43,269,351,317,467,"5,625","5,625","32,367",32367.0,2215.0,2021,NE_8245_60,Petroleum Products,NE_8245_60_Petroleum Products
60,N,.,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,,22,1,Electric Utility,ST,RC,COL,SWPP,M,short tons,"81,128","80,250","27,228",0,"39,145","103,499","14,729","112,337","90,884","47,996","27,118","32,135","81,128","80,250","27,228",0,"39,145","103,499","14,729","112,337","90,884","47,996","27,118","32,135",16.31,16.46,16.29,0,16.35,16.29,16.25,16.28,16.33,16.29,16.34,16.21,"1,322,792","1,320,514","443,653",0,"639,982","1,686,309","239,376","1,829,183","1,484,499","781,951","442,973","521,037","1,322,792","1,320,514","443,653",0,"639,982","1,686,309","239,376","1,829,183","1,484,499","781,951","442,973","521,037","61,377","68,189","20,226",0,"28,463","83,389","26,009","180,509","144,029","74,722","36,790","49,005","656,449","656,449","10,712,269",10712269.0,772707.0,2021,NE_8245_60,Coal,NE_8245_60_Coal
60,N,.,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,,22,1,Electric Utility,ST,SUB,COL,SWPP,M,short tons,"79,581","95,909","31,993","1,361","39,901","104,430","95,650",909,703,"2,764",695,"45,308","79,581","95,909","31,993","1,361","39,901","104,430","95,650",909,703,"2,764",695,"45,308",16.31,16.45,16.29,16.2,16.35,16.29,16.25,16.31,16.34,16.26,16.36,16.21,"1,297,648","1,577,511","521,166","22,043","652,501","1,701,478","1,554,504","14,828","11,484","44,945","11,367","734,624","1,297,648","1,577,511","521,166","22,043","652,501","1,701,478","1,554,504","14,828","11,484","44,945","11,367","734,624","60,210","81,460","23,759",43,"29,020","84,139","168,904","1,463","1,114","4,295",944,"69,094","499,204","499,204","8,144,099",8144099.0,524445.0,2021,NE_8245_60,Coal,NE_8245_60_Coal
108,N,.,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,,22,1,Electric Utility,ST,NG,NG,SWPP,M,mcf,"14,570","7,272","7,495","13,496","7,346","12,714","5,414","8,017","14,092","27,799","14,687","20,337","14,570","7,272","7,495","13,496","7,346","12,714","5,414","8,017","14,092","27,799","14,687","20,337",1.08,1.1,1.11,1.11,1.09,1.1,1.1,1.1,1.09,1.1,1.09,1.03,"15,721","8,028","8,289","14,954","8,029","14,011","5,934","8,851","15,388","30,579","16,038","20,967","15,721","8,028","8,289","14,954","8,029","14,011","5,934","8,851","15,388","30,579","16,038","20,967","1,449",761,751,992,743,"1,299",569,842,"1,414","2,730","1,217","1,932","153,239","153,239","166,789",166789.0,14699.0,2021,KS_18315_108,Natural Gas and Other Gases,KS_18315_108_Natural Gas and Other Gases
108,N,.,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,,22,1,Electric Utility,ST,SUB,COL,SWPP,M,short tons,"93,144","113,376","90,371","7,495","102,104","105,306","128,424","115,847","75,190","65,072","11,771","74,137","93,144","113,376","90,371","7,495","102,104","105,306","128,424","115,847","75,190","65,072","11,771","74,137",17.14,17.15,17.24,17.45,17.64,17.72,17.6,17.5,17.79,17.12,17.12,17.09,"1,596,116","1,944,852","1,557,996","130,758","1,800,706","1,865,812","2,260,006","2,027,091","1,337,480","1,113,902","201,543","1,267,298","1,596,116","1,944,852","1,557,996","130,758","1,800,706","1,865,812","2,260,006","2,027,091","1,337,480","1,113,902","201,543","1,267,298","147,120","184,412","141,215","8,678","166,551","173,011","216,693","192,836","122,860","99,438","15,291","116,767","982,237","982,237","17,103,560",17103560.0,1584872.0,2021,KS_18315_108,Coal,KS_18315_108_Coal
113,N,.,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,,22,1,Electric Utility,ST,DFO,DFO,AZPS,M,barrels,505,24,0,997,449,1,767,303,0,107,7,240,505,24,0,997,449,1,767,303,0,107,7,240,5.4,5.44,0,5.44,5.44,5.44,5.44,5.44,0,5.44,5.44,5.44,"2,725",131,0,"5,422","2,442",5,"4,171","1,648",0,582,38,"1,305","2,725",131,0,"5,422","2,442",5,"4,171","1,648",0,582,38,"1,305",299,15,0,653,225,1,388,183,0,52,3,114,"3,400","3,400","18,469",18469.0,1933.0,2021,AZ_803_113,Petroleum Products,AZ_803_113_Petroleum Products
